City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
532,Kalmunai,LK,75.9,overcast clouds,7.4167,81.8167,VS Villa
533,Cap-Haitien,HT,80.55,scattered clouds,19.7578,-72.2042,Habitation Jouissant
535,Conde,BR,83.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
536,Nacala,MZ,76.19,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
543,Mogadishu,SO,77.16,overcast clouds,2.0371,45.3438,Hotel Juba
546,Domoni,KM,79.16,clear sky,-12.2569,44.5319,Al Djadid
552,Santa Cruz,BO,85.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
556,Itacoatiara,BR,81.32,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
559,Parana,AR,86.58,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
560,Lodwar,KE,87.01,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
562,Mucurapo,TT,86.05,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
566,Porto Nacional,BR,86.0,light rain,-10.7081,-48.4172,Vila Real Hotel
569,Iralaya,HN,78.89,clear sky,15.0,-83.2333,Iglesia morava renovada
574,Toamasina,MG,77.0,scattered clouds,-18.1667,49.3833,Hotel H1
575,Mitsamiouli,KM,80.58,clear sky,-11.3847,43.2844,Foyer ADM
577,Inhambane,MZ,76.64,clear sky,-23.865,35.3833,Oceano
578,Biltine,TD,75.4,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
579,Selma,US,80.04,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
582,Luanda,AO,78.8,clear sky,-8.8368,13.2343,Hotel Fórum
585,Tamandare,BR,81.21,clear sky,-8.7597,-35.1047,Pousada 100 Passos
588,Totness,SR,79.09,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
593,Bembereke,BJ,80.78,broken clouds,10.2283,2.6634,Hotel Bio Guera
596,Mendoza,AR,85.53,few clouds,-32.8908,-68.8272,Hotel Mendoza
600,Yendi,GH,87.94,scattered clouds,9.4427,-0.0099,Eyarro Lodge
603,Kontagora,NG,83.52,few clouds,10.3999,5.4695,Queens Guest Inn
606,Springbok,ZA,77.65,few clouds,-29.6643,17.8865,Undulata Country Lodge
610,Aflao,TG,84.33,few clouds,6.116,1.1914,Hotel LeBenin
613,Maxixe,MZ,75.67,clear sky,-23.8597,35.3472,Oceano
614,Sechura,PE,80.92,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
616,Mirador,BR,75.51,moderate rain,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
625,Mecca,SA,75.29,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
626,Vieux-Habitants,GP,75.7,clear sky,16.0589,-61.7659,Gîtes Dardanelle
628,Sinnamary,GF,77.76,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
631,Balsas,BR,78.76,broken clouds,-7.5325,-46.0356,Novo Hotel
633,Kankan,GN,78.62,clear sky,10.3854,-9.3057,Hotel Bate
635,Kattivakkam,IN,79.07,clear sky,13.2167,80.3167,Euronova Freezer
636,Puerto Baquerizo Moreno,EC,81.59,broken clouds,-0.9,-89.6,Hotel los Algarrobos
637,Comodoro Rivadavia,AR,78.66,scattered clouds,-45.8667,-67.5,Austral Hotel
638,Ouidah,BJ,84.06,scattered clouds,6.3631,2.0851,Djegba Hotel
640,Morada Nova,BR,84.09,overcast clouds,-5.1067,-38.3725,PIZZARIA MARIANA
641,Muisne,EC,82.51,light rain,0.6,-80.0333,Quinta Samay
643,Diego De Almagro,CL,80.51,scattered clouds,-26.3667,-70.05,hotel luna del desierto
650,Aquiraz,BR,84.29,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
651,Libertador General San Martin,AR,82.98,overcast clouds,-23.8064,-64.7876,Posada del Sol
655,Ankazoabo,MG,76.05,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
656,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
664,Cupira,BR,79.43,broken clouds,-8.6167,-35.95,Hotel Farm Home to Glory
676,Imbituba,BR,82.29,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
678,Rio Bananal,BR,76.15,broken clouds,-19.265,-40.3333,HOTEL SCARTON
679,Nicoya,CR,85.55,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
682,Urucui,BR,78.15,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
687,Cantanhede,BR,76.96,moderate rain,-3.6333,-44.3767,HOTEL FE EM DEUS
693,Bodden Town,KY,84.99,broken clouds,19.2833,-81.25,Will T Place
694,Breves,BR,78.42,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
700,Terra Santa,BR,82.83,overcast clouds,-2.1042,-56.4869,Hotel Sarah
708,Jacareacanga,BR,79.68,broken clouds,-6.2222,-57.7528,Casa do Ian😎
